               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.036003,            0.012865,           0.0047432,             0.88141,              0.9994,             0.98346,             0.55983,            0.033765,           0.0066547,           0.0034234,           0.0036357,           0.0036357,           0.0036357
                 137,            0.042587,            0.015114,           0.0080459,             0.93243,              0.9999,             0.99045,             0.52229,            0.032049,           0.0066299,           0.0034163,           0.0035886,           0.0035886,           0.0035886
                 138,            0.038404,            0.013809,           0.0061925,             0.93243,              0.9999,             0.99045,             0.52229,            0.032049,           0.0066299,           0.0034163,           0.0035414,           0.0035414,           0.0035414
                 139,            0.038675,            0.015544,           0.0059686,             0.94664,             0.99992,             0.99045,             0.61739,            0.029951,           0.0065105,            0.003377,           0.0034943,           0.0034943,           0.0034943
                 140,            0.036825,            0.015429,           0.0053129,             0.94664,             0.99992,             0.99045,             0.61739,            0.029951,           0.0065105,            0.003377,           0.0034471,           0.0034471,           0.0034471
                 141,            0.038707,            0.013618,           0.0065542,             0.98274,             0.99988,               0.995,             0.66036,             0.02924,           0.0063865,           0.0033066,              0.0034,              0.0034,              0.0034
                 142,            0.041652,            0.012223,           0.0086459,             0.98274,             0.99988,               0.995,             0.66036,             0.02924,           0.0063865,           0.0033066,           0.0033529,           0.0033529,           0.0033529
                 143,            0.036926,             0.01197,           0.0052375,             0.97763,             0.99998,               0.995,             0.54428,            0.030236,           0.0063233,           0.0033392,           0.0033057,           0.0033057,           0.0033057
                 144,            0.029925,           0.0095547,           0.0075322,             0.97763,             0.99998,               0.995,             0.54428,            0.030236,           0.0063233,           0.0033392,           0.0032586,           0.0032586,           0.0032586
                 145,            0.033171,           0.0094841,           0.0064594,             0.93855,                   1,               0.995,             0.59364,            0.024209,           0.0064749,           0.0033844,           0.0032114,           0.0032114,           0.0032114
                 146,            0.039219,            0.011257,           0.0043563,             0.93855,                   1,               0.995,             0.59364,            0.024209,           0.0064749,           0.0033844,           0.0031643,           0.0031643,           0.0031643
                 147,            0.034325,             0.01175,           0.0061769,             0.98393,                   1,               0.995,             0.61302,            0.025867,           0.0064546,            0.003307,           0.0031171,           0.0031171,           0.0031171
                 148,            0.037343,            0.012596,           0.0076472,             0.98393,                   1,               0.995,             0.61302,            0.025867,           0.0064546,            0.003307,             0.00307,             0.00307,             0.00307
                 149,            0.035272,            0.016719,           0.0058494,             0.96205,             0.99967,               0.995,             0.63369,            0.024141,           0.0063794,           0.0031746,           0.0030229,           0.0030229,           0.0030229
                 150,            0.037126,            0.012707,           0.0045814,             0.96205,             0.99967,               0.995,             0.63369,            0.024141,           0.0063794,           0.0031746,           0.0029757,           0.0029757,           0.0029757
                 151,            0.037558,            0.010924,           0.0052034,             0.90387,             0.94997,             0.96607,             0.54764,            0.031049,           0.0063276,           0.0030853,           0.0029286,           0.0029286,           0.0029286
                 152,            0.041764,             0.01114,           0.0063405,             0.90387,             0.94997,             0.96607,             0.54764,            0.031049,           0.0063276,           0.0030853,           0.0028814,           0.0028814,           0.0028814
                 153,            0.039677,            0.011234,           0.0050602,             0.99045,             0.99989,               0.995,             0.56145,            0.027996,           0.0064003,           0.0029769,           0.0028343,           0.0028343,           0.0028343
                 154,            0.042399,             0.01227,           0.0047223,             0.99045,             0.99989,               0.995,             0.56145,            0.027996,           0.0064003,           0.0029769,           0.0027871,           0.0027871,           0.0027871
                 155,            0.034894,            0.013348,           0.0065694,             0.98729,                   1,               0.995,             0.65876,             0.02431,           0.0062458,           0.0029683,             0.00274,             0.00274,             0.00274
